File Name,Pos.Z,Depth (cm),Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,Unnamed: 39
wb497_10_8_rec_voi_0145.bmp,2.88299,8.288299,127.0,65.19799,26.61867,40.82744,30.23853,224.70485,8.44162,0.20960,0.51659,-0.55726,92.0,35.0,6.53862,3.71082,19.72000,32.04070,38.57932,49.14370,59.17256,,,,,,,,,,,,5.44980,0.22185,0.23692,0.34338,1.72325,1.6574,10.61923,
wb497_10_8_rec_voi_0146.bmp,2.90287,8.290287,127.0,65.19799,26.83304,41.15623,30.23853,226.25619,8.43200,0.21128,0.51867,-0.30069,91.0,36.0,6.15031,1.90208,18.64672,32.21465,38.36496,49.41049,58.84377,,,,,,,,,,,,14.78688,0.15961,0.23719,0.33913,1.73515,1.65872,10.99941,
wb497_10_8_rec_voi_0147.bmp,2.92276,8.292276,121.0,65.19799,27.01647,41.43757,30.23853,226.35735,8.37850,0.22328,0.53318,-1.44045,80.0,41.0,6.08177,8.83856,18.37492,32.09976,38.18153,49.23427,58.56243,,,,,,,,,,,,49.73568,0.1318,0.23871,0.33736,1.73592,1.616,10.63146,
wb497_10_8_rec_voi_0148.bmp,2.94264,8.294264,120.0,65.19799,27.18586,41.69739,30.23853,230.18145,8.46695,0.22655,0.53708,-1.63095,74.0,46.0,6.26990,10.30719,18.74086,31.74224,38.01213,48.68591,58.30261,,,,,,,,,,,,69.85653,0.18576,0.23621,0.33028,1.76525,1.66981,10.25327,
wb497_10_8_rec_voi_0149.bmp,2.96252,8.296252,122.0,65.19799,27.17958,41.68776,30.23853,232.87151,8.56788,0.22278,0.53259,-1.04837,84.0,38.0,6.11572,6.47393,18.36812,31.90269,38.01841,48.93201,58.31224,,,,,,,,,,,,71.21345,0.227,0.23343,0.32652,1.78588,1.51176,10.24745,
wb497_10_8_rec_voi_0150.bmp,2.98240,8.29824,136.0,65.19799,27.21660,41.74453,30.23853,235.67590,8.65927,0.20012,0.50478,-1.47790,90.0,46.0,6.37135,9.48494,18.96915,31.61005,37.98140,48.48316,58.25547,,,,,,,,,,,,73.36703,0.24965,0.23097,0.32232,1.80739,1.67702,10.32939,
wb497_10_8_rec_voi_0151.bmp,3.00229,8.300229,141.0,65.19799,27.21279,41.73869,30.23853,236.86052,8.70401,0.19300,0.49571,-0.23604,94.0,47.0,5.86870,1.46618,17.74012,32.11651,37.98520,49.25996,58.26131,,,,,,,,,,,,78.13714,0.25817,0.22978,0.32074,1.81647,1.67463,9.95803,
wb497_10_8_rec_voi_0152.bmp,3.02217,8.302217,134.0,65.19799,27.29166,41.85966,30.23853,234.33153,8.58620,0.20367,0.50923,-1.07194,100.0,34.0,6.35623,6.92066,18.89042,31.55011,37.90634,48.39123,58.14034,,,,,,,,,,,,80.61404,0.27025,0.23293,0.32353,1.79708,1.67332,9.81985,
wb497_10_8_rec_voi_0153.bmp,3.04205,8.304205,123.0,65.19799,27.29625,41.86671,30.23853,230.16401,8.43207,0.22192,0.53156,-1.57670,93.0,30.0,6.33997,10.09989,18.84863,31.56177,37.90174,48.40912,58.13329,,,,,,,,,,,,83.05071,0.27488,0.23719,0.32935,1.76512,1.65158,10.11268,
wb497_10_8_rec_voi_0154.bmp,3.06193,8.306193,119.0,65.19799,27.27787,41.83851,30.23853,226.46418,8.30212,0.22923,0.54024,-0.50829,88.0,31.0,5.92587,3.10937,17.84699,31.99425,37.92012,49.07245,58.16149,,,,,,,,,,,,87.06534,0.28063,0.24090,0.33489,1.73674,1.66694,10.36092,
wb497_10_8_rec_voi_0155.bmp,3.08182,8.308182,104.0,65.19799,27.22208,41.75294,30.23853,223.73718,8.21896,0.26175,0.57730,-1.26848,76.0,28.0,6.33789,8.14807,18.88527,31.63802,37.97591,48.52606,58.24706,,,,,,,,,,,,90.69746,0.28951,0.24334,0.33947,1.71583,1.66154,10.77787,
wb497_10_8_rec_voi_0156.bmp,3.10170,8.31017,100.0,65.19799,27.11243,41.58476,30.23853,224.39072,8.27630,0.27112,0.58754,-1.19042,68.0,32.0,6.49795,7.80115,19.33316,31.58762,38.08556,48.44876,58.41524,,,,,,,,,,,,92.22656,0.31164,0.24165,0.33946,1.72084,1.66095,11.04841,
